old_name,new_name,case_id,new_case_id
putusan_5_pk_pdt.sus-hki_2023_20260605192225.txt,case_53.txt,putusan_5_pk_pdt.sus-hki_2023_20260605192225,case_53
putusan_61_pk_pdt.sus-hki_2024_20260509111946.txt,case_54.txt,putusan_61_pk_pdt.sus-hki_2024_20260509111946,case_54
putusan_623_k_pdt.sus-hki_2024_20260507094541.txt,case_55.txt,putusan_623_k_pdt.sus-hki_2024_20260507094541,case_55
putusan_652_k_pdt.sus-hki_2023_20260605191310.txt,case_56.txt,putusan_652_k_pdt.sus-hki_2023_20260605191310,case_56
putusan_654_k_pdt.sus-hki_2024_20260507044233.txt,case_57.txt,putusan_654_k_pdt.sus-hki_2024_20260507044233,case_57
putusan_655_k_pdt.sus-hki_2023_20260605191323.txt,case_58.txt,putusan_655_k_pdt.sus-hki_2023_20260605191323,case_58
putusan_665_k_pdt.sus-hki_2023_20260605191510.txt,case_59.txt,putusan_665_k_pdt.sus-hki_2023_20260605191510,case_59
putusan_705_k_pdt.sus-hki_2023_20260605191459.txt,case_60.txt,putusan_705_k_pdt.sus-hki_2023_20260605191459,case_60
putusan_706_k_pdt.sus-hki_2023_20260605191248.txt,case_61.txt,putusan_706_k_pdt.sus-hki_2023_20260605191248,case_61
putusan_76_k_pdt.sus-hki_2024_20260430185726.txt,case_62.txt,putusan_76_k_pdt.sus-hki_2024_20260430185726,case_62
putusan_791_k_pdt.sus-hki_2024_20260508143712.txt,case_63.txt,putusan_791_k_pdt.sus-hki_2024_20260508143712,case_63
putusan_830_k_pdt.sus-hki_2024_20260507093906.txt,case_64.txt,putusan_830_k_pdt.sus-hki_2024_20260507093906,case_64
putusan_831_k_pdt.sus-hki_2024_20260506224537.txt,case_65.txt,putusan_831_k_pdt.sus-hki_2024_20260506224537,case_65
putusan_947_k_pdt.sus-hki_2024_20260429104716.txt,case_66.txt,putusan_947_k_pdt.sus-hki_2024_20260429104716,case_66
putusan_984_k_pdt.sus-hki_2024_20260509112330.txt,case_67.txt,putusan_984_k_pdt.sus-hki_2024_20260509112330,case_67
putusan_989_k_pdt.sus-hki_2024_20260509112127.txt,case_68.txt,putusan_989_k_pdt.sus-hki_2024_20260509112127,case_68
putusan_995_k_pdt.sus-hki_2024_20260507125222.txt,case_69.txt,putusan_995_k_pdt.sus-hki_2024_20260507125222,case_69
